"ORIGEN","DESTINO","O_D","Nombre_Zona_origin","NUTS_CNTR_CODE_origin","NUTS_ID_origin","Nombre_Zona_destination","NUTS_CNTR_CODE_destination","NUTS_ID_destination","xcoord_origin","ycoord_origin","xcoord_destination","ycoord_destination","mode","counts"
"ES01","ES22","ES01_ES22","Araba/Alava","ES","ES211","Huesca","ES","ES241",-2.68598435098573,42.8695986935993,-0.0879506146236791,42.2336832772921,"bus",0
"ES01","ES22","ES01_ES22","Araba/Alava","ES","ES211","Huesca","ES","ES241",-2.68598435098573,42.8695986935993,-0.0879506146236791,42.2336832772921,"train",0
"ES01","ES22","ES01_ES22","Araba/Alava","ES","ES211","Huesca","ES","ES241",-2.68598435098573,42.8695986935993,-0.0879506146236791,42.2336832772921,"plane",0
"ES01","ES22","ES01_ES22","Araba/Alava","ES","ES211","Huesca","ES","ES241",-2.68598435098573,42.8695986935993,-0.0879506146236791,42.2336832772921,"ferry",0
"ES01","ES22","ES01_ES22","Araba/Alava","ES","ES211","Huesca","ES","ES241",-2.68598435098573,42.8695986935993,-0.0879506146236791,42.2336832772921,"all trips",103275
"ES01","ES23","ES01_ES23","Araba/Alava","ES","ES211","Jaen","ES","ES616",-2.68598435098573,42.8695986935993,-3.43946978524982,38.0205460353112,"car",15980
"ES01","ES23","ES01_ES23","Araba/Alava","ES","ES211","Jaen","ES","ES616",-2.68598435098573,42.8695986935993,-3.43946978524982,38.0205460353112,"bus",58
"ES01","ES23","ES01_ES23","Araba/Alava","ES","ES211","Jaen","ES","ES616",-2.68598435098573,42.8695986935993,-3.43946978524982,38.0205460353112,"train",0
"ES01","ES23","ES01_ES23","Araba/Alava","ES","ES211","Jaen","ES","ES616",-2.68598435098573,42.8695986935993,-3.43946978524982,38.0205460353112,"plane",0
"ES01","ES23","ES01_ES23","Araba/Alava","ES","ES211","Jaen","ES","ES616",-2.68598435098573,42.8695986935993,-3.43946978524982,38.0205460353112,"ferry",0
"ES01","ES23","ES01_ES23","Araba/Alava","ES","ES211","Jaen","ES","ES616",-2.68598435098573,42.8695986935993,-3.43946978524982,38.0205460353112,"all trips",16038
"ES01","ES24","ES01_ES24","Araba/Alava","ES","ES211","Leon","ES","ES413",-2.68598435098573,42.8695986935993,-5.83919841704649,42.619548233083,"car",133040
"ES01","ES24","ES01_ES24","Araba/Alava","ES","ES211","Leon","ES","ES413",-2.68598435098573,42.8695986935993,-5.83919841704649,42.619548233083,"bus",196
"ES01","ES24","ES01_ES24","Araba/Alava","ES","ES211","Leon","ES","ES413",-2.68598435098573,42.8695986935993,-5.83919841704649,42.619548233083,"train",8541
"ES01","ES24","ES01_ES24","Araba/Alava","ES","ES211","Leon","ES","ES413",-2.68598435098573,42.8695986935993,-5.83919841704649,42.619548233083,"plane",0
"ES01","ES24","ES01_ES24","Araba/Alava","ES","ES211","Leon","ES","ES413",-2.68598435098573,42.8695986935993,-5.83919841704649,42.619548233083,"ferry",0
"ES01","ES24","ES01_ES24","Araba/Alava","ES","ES211","Leon","ES","ES413",-2.68598435098573,42.8695986935993,-5.83919841704649,42.619548233083,"all trips",141777
"ES01","ES25","ES01_ES25","Araba/Alava","ES","ES211","Lleida","ES","ES513",-2.68598435098573,42.8695986935993,1.03298748199654,42.0441769782843,"car",61351
"ES01","ES25","ES01_ES25","Araba/Alava","ES","ES211","Lleida","ES","ES513",-2.68598435098573,42.8695986935993,1.03298748199654,42.0441769782843,"bus",608
"ES01","ES25","ES01_ES25","Araba/Alava","ES","ES211","Lleida","ES","ES513",-2.68598435098573,42.8695986935993,1.03298748199654,42.0441769782843,"train",4159
"ES01","ES25","ES01_ES25","Araba/Alava","ES","ES211","Lleida","ES","ES513",-2.68598435098573,42.8695986935993,1.03298748199654,42.0441769782843,"plane",0
"ES01","ES25","ES01_ES25","Araba/Alava","ES","ES211","Lleida","ES","ES513",-2.68598435098573,42.8695986935993,1.03298748199654,42.0441769782843,"ferry",0
"ES01","ES25","ES01_ES25","Araba/Alava","ES","ES211","Lleida","ES","ES513",-2.68598435098573,42.8695986935993,1.03298748199654,42.0441769782843,"all trips",66118
"ES01","ES26","ES01_ES26","Araba/Alava","ES","ES211","La Rioja","ES","ES230",-2.68598435098573,42.8695986935993,-2.47263095890837,42.2389380979813,"car",334715
"ES01","ES26","ES01_ES26","Araba/Alava","ES","ES211","La Rioja","ES","ES230",-2.68598435098573,42.8695986935993,-2.47263095890837,42.2389380979813,"bus",15318
"ES01","ES26","ES01_ES26","Araba/Alava","ES","ES211","La Rioja","ES","ES230",-2.68598435098573,42.8695986935993,-2.47263095890837,42.2389380979813,"train",0
"ES01","ES26","ES01_ES26","Araba/Alava","ES","ES211","La Rioja","ES","ES230",-2.68598435098573,42.8695986935993,-2.47263095890837,42.2389380979813,"plane",0
"ES01","ES26","ES01_ES26","Araba/Alava","ES","ES211","La Rioja","ES","ES230",-2.68598435098573,42.8695986935993,-2.47263095890837,42.2389380979813,"ferry",0
"ES01","ES26","ES01_ES26","Araba/Alava","ES","ES211","La Rioja","ES","ES230",-2.68598435098573,42.8695986935993,-2.47263095890837,42.2389380979813,"all trips",350033
"ES01","ES27","ES01_ES27","Araba/Alava","ES","ES211","Lugo","ES","ES112",-2.68598435098573,42.8695986935993,-7.44437040320826,43.0241412798924,"car",33218
"ES01","ES27","ES01_ES27","Araba/Alava","ES","ES211","Lugo","ES","ES112",-2.68598435098573,42.8695986935993,-7.44437040320826,43.0241412798924,"bus",142
"ES01","ES27","ES01_ES27","Araba/Alava","ES","ES211","Lugo","ES","ES112",-2.68598435098573,42.8695986935993,-7.44437040320826,43.0241412798924,"train",756
"ES01","ES27","ES01_ES27","Araba/Alava","ES","ES211","Lugo","ES","ES112",-2.68598435098573,42.8695986935993,-7.44437040320826,43.0241412798924,"plane",0
